USV
0.30
0.78
0.87
1.27
1.57
2.94
3.83
4.78
6.42
7.26
7.84
8.17
8.42
8.55
8.71
9.13
9.78
9.90
10.15
10.35
10.93
11.68
12.40
12.44
12.70
12.85
13.48
14.66
14.87
15.15
16.03
16.55
16.71
17.06
17.56
18.07
18.21
18.62
18.93
19.19
19.52
20.11
20.80
21.04
21.83
22.43
22.81
23.74
23.98
24.29
24.86
25.20
25.48
26.12
26.35
26.86
26.94
27.26
27.75
27.89
28.80
29.04
29.72
30.48
31.04
31.44
31.95
32.05
32.42
33.22
33.65
33.85
34.19
34.91
35.26
35.42
35.80
35.83
36.13
36.71
37.13
38.65
39.52
39.62
40.66
41.09
41.32
41.50
41.84
41.99
42.16
42.44
42.49
42.64
44.87
45.35
45.56
45.92
46.14
46.60
46.75
48.02
48.15
48.43
49.50
51.41
52.09
52.33
52.54
52.90
53.23
53.39
53.94
54.25
54.63
55.06
56.25
56.63
56.82
57.63
57.83
57.85
58.16
58.37
58.54
59.00
59.58
60.02
60.29
60.66
61.37
64.21
64.67
65.02
65.24
65.44
65.66
65.88
66.05
66.34
66.75
67.12
67.34
67.74
68.08
68.21
68.46
69.18
69.40
69.66
69.83
70.02
70.25
70.32
70.48
70.78
71.04
71.34
71.72
72.03
72.23
72.49
72.98
73.27
73.53
74.47
74.90
75.03
75.22
75.64
76.84
77.80
78.20
78.49
79.77
80.12
80.33
80.57
81.01
81.18
81.60
81.90
82.60
82.82
83.12
83.66
83.82
84.02
84.20
84.43
84.69
84.97
85.26
85.34
85.47
85.84
86.05
86.19
86.40
87.37
87.84
88.03
88.27
88.60
88.75
88.88
89.18
89.22
89.36
89.65
90.21
90.45
90.55
90.89
91.09
91.34
91.85
92.66
93.05
93.34
93.61
93.79
94.54
94.75
95.01
95.25
95.68
95.86
96.07
96.40
96.81
96.94
97.20
97.49
97.77
98.04
98.40
98.57
98.83
99.66
100.11
100.49
100.71
101.05
101.37
101.45
101.56
101.74
101.97
102.06
102.19
102.54
102.88
103.92
104.03
104.32
104.63
104.77
105.25
107.44
107.63
107.97
109.30
109.61
109.64
109.91
110.18
110.70
111.02
111.34
111.57
111.98
112.36
112.57
112.75
114.01
114.30
114.45
114.72
114.96
115.17
115.31
115.68
115.75
115.90
116.22
116.72
117.54
117.71
118.08
118.46
118.66
119.19
119.28
119.72
119.95
119.97
120.19
120.58
120.80
121.08
122.30
122.61
122.79
122.83
123.10
123.33
123.57
123.96
124.51
124.73
125.08
125.62
125.85
126.04
126.42
126.76
126.99
127.35
127.57
127.85
128.44
128.94
129.61
130.04
131.32
131.62
131.82
133.13
133.39
133.64
133.97
134.56
134.83
135.20
135.50
136.03
136.15
136.57
136.87
137.18
137.35
137.58
138.04
138.34
138.54
138.58
138.71
138.99
139.24
139.40
139.68
140.75
141.17
141.39
142.10
142.39
142.63
142.74
142.98
143.24
143.39
144.02
144.28
144.51
144.74
145.22
145.50
145.57
146.58
146.66
146.84
147.01
147.26
147.34
147.53
147.80
148.08
148.33
148.82
149.38
149.65
149.94
150.14
150.43
150.56
150.87
151.35
151.68
151.77
152.14
153.11
153.53
153.99
154.05
154.21
154.38
154.54
154.70
155.01
156.07
156.19
156.44
156.57
156.87
157.11
157.19
157.36
157.46
157.71
157.88
158.30
158.84
159.39
159.77
160.07
160.51
160.88
161.64
163.74
164.50
164.80
165.33
165.59
165.88
166.11
166.59
166.84
167.05
167.45
167.84
168.26
168.50
168.66
169.09
169.48
169.68
169.95
170.32
170.53
170.86
171.53
172.64
173.29
173.48
174.00
174.20
174.48
174.71
175.12
175.66
176.67
176.99
177.92
178.09
178.62
178.83
179.18
179.40
179.59
179.80
180.08
180.21
180.43
180.64
181.12
181.23
181.51
181.87
182.31
182.59
182.81
183.22
183.39
184.06
184.74
184.81
185.22
185.48
185.51
185.73
185.96
186.20
186.43
186.53
187.12
187.34
187.54
187.78
188.16
188.43
188.77
188.85
189.14
189.61
189.81
190.08
190.94
191.72
191.84
192.00
192.26
192.70
192.74
192.85
192.89
193.43
193.97
194.19
194.44
194.55
195.83
196.35
196.77
197.09
197.33
197.41
197.61
198.08
198.45
198.66
198.84
198.97
199.51
199.78
200.12
200.43
201.22
201.28
201.45
201.67
201.87
202.11
202.43
202.93
203.44
203.64
204.77
205.34
205.69
206.03
206.47
206.82
207.07
208.44
208.90
208.95
209.22
209.44
209.76
209.79
210.06
210.41
210.60
210.79
210.98
211.18
211.43
211.45
211.72
212.01
212.51
212.60
213.82
214.08
214.89
215.31
215.50
215.75
215.91
216.07
217.20
217.35
217.89
217.98
218.25
218.52
219.30
219.72
220.19
220.78
221.02
221.21
221.69
221.78
221.92
222.13
222.52
224.29
225.05
225.58
226.08
226.20
226.57
226.86
227.50
228.14
228.46
229.68
230.07
231.58
231.86
232.74
233.03
233.62
233.99
234.05
234.57
234.83
235.06
235.27
235.50
235.75
236.03
236.26
236.50
236.77
237.04
237.30
237.55
237.85
238.09
238.56
240.45
240.54
240.76
240.88
241.06
244.28
244.31
244.60
244.65
245.20
245.40
245.66
245.84
246.09
246.32
246.71
246.73
246.90
247.24
247.42
247.67
248.11
248.54
248.84
249.12
249.18
