Begin Time (s),Begin Time (s),Begin Time (s),Begin Time (s)
,120.59,113.36,112.03
,121.70,113.56,112.16
,121.81,113.71,112.48
,122.15,113.90,112.88
,122.98,114.20,113.11
,123.18,114.39,113.73
,123.79,114.72,114.62
,123.90,115.27,115.00
,124.37,115.72,115.52
,126.40,115.83,115.77
,126.47,116.84,116.04
,127.15,117.27,116.76
,127.69,117.46,117.00
,128.02,118.59,117.42
,130.11,118.97,118.57
,130.21,119.36,118.91
,130.94,120.28,119.22
,131.62,120.47,119.47
,132.15,120.70,120.03
,132.91,120.87,122.54
,133.32,122.58,122.83
,133.46,123.28,123.07
,133.52,123.83,123.68
,133.94,124.31,124.32
,133.97,124.79,124.84
,134.33,125.01,126.74
,134.45,125.40,127.08
,135.37,125.95,127.31
,135.59,126.44,127.55
,135.82,127.31,127.82
,136.27,127.78,128.11
,136.43,128.22,128.60
,136.58,128.87,129.28
,136.95,129.19,129.53
,137.35,129.82,129.68
,137.77,130.52,130.52
,138.39,130.62,130.73
,138.51,130.89,131.07
,139.04,131.39,131.49
,139.65,131.61,131.63
,140.56,132.34,131.76
,140.78,132.74,131.89
,141.01,133.37,132.27
,141.49,133.97,132.72
,141.78,134.89,133.47
,142.62,136.30,133.91
,143.06,136.55,134.24
,143.19,136.66,134.43
,143.35,137.86,135.15
,144.45,138.52,135.47
,144.81,138.94,135.81
,145.57,139.48,136.34
,145.93,139.72,137.58
,146.04,141.31,137.75
,146.51,141.54,137.95
,146.87,143.40,138.17
,147.00,143.86,138.82
,147.58,144.45,139.42
,147.76,144.70,139.76
,148.09,145.21,139.81
,148.30,145.88,140.75
,148.35,146.74,141.36
,148.80,147.33,141.92
,149.33,147.60,144.23
,149.57,147.82,145.43
,150.00,148.33,146.11
,150.94,148.49,146.92
,150.99,148.99,147.82
,151.55,149.41,147.87
,151.66,149.66,148.28
,152.24,150.01,148.66
,153.52,151.21,149.03
,153.75,151.43,150.61
,153.83,151.81,150.76
,154.55,153.07,150.98
,155.73,153.35,151.38
,157.53,153.79,151.61
,157.74,154.25,152.13
,158.40,156.39,152.81
,158.63,156.88,152.99
,159.60,157.04,153.49
,159.82,157.60,153.68
,160.05,157.75,154.92
,160.93,158.53,155.28
,161.50,159.67,155.61
,164.25,159.98,155.82
,164.48,160.22,156.08
,165.57,160.51,156.19
,165.73,160.67,158.03
,166.13,161.41,158.32
,166.33,161.74,159.01
,166.73,162.83,159.99
,167.34,163.26,160.17
,167.55,163.75,160.30
,167.59,163.96,160.53
,168.05,164.26,160.67
,168.78,164.51,161.12
